id,fuenteId,timestamp,valor,latitud,longitud
e671,f3,2025-07-12T13:39:00,13.0,39.452426,-0.422537
e672,f3,2025-08-07T10:12:00,99.56,39.431407,-0.33594
e673,f1,2025-08-05T10:41:00,39.41,40.402526,-3.722775
e674,f2,2025-06-12T07:12:00,15.6,37.426217,-5.966921
e675,f1,2025-08-09T09:01:00,69.22,40.388858,-3.654103
e676,f2,2025-07-08T04:44:00,79.95,37.37935,-6.029377
e677,f2,2025-07-26T07:12:00,41.28,37.407118,-5.95294
e678,f1,2025-08-04T01:53:00,27.21,40.437577,-3.656635
e679,f3,2025-07-27T12:07:00,15.44,39.479462,-0.342361
e680,f1,2025-08-06T16:06:00,40.46,40.433625,-3.703533
e681,f2,2025-07-11T12:04:00,38.44,37.343826,-6.027462
e682,f3,2025-07-09T09:37:00,19.25,39.429914,-0.39209
e683,f2,2025-07-02T06:09:00,96.56,37.413309,-6.017469
e684,f3,2025-07-14T19:43:00,82.42,39.479366,-0.359245
e685,f1,2025-06-25T15:52:00,52.92,40.375431,-3.693654
e686,f2,2025-08-07T06:59:00,75.0,37.379265,-6.020874
e687,f3,2025-07-24T14:28:00,35.71,39.42774,-0.420324
e688,f1,2025-07-19T16:49:00,47.47,40.461626,-3.741996
e689,f2,2025-07-08T11:18:00,70.04,37.367386,-5.944716
e690,f3,2025-06-07T15:47:00,23.04,39.445473,-0.394496
e691,f2,2025-07-01T21:15:00,10.6,37.42064,-5.941388
e692,f2,2025-07-02T06:30:00,68.77,37.387169,-6.034486
e693,f2,2025-07-15T18:47:00,39.9,37.371058,-6.007222
e694,f3,2025-06-26T01:06:00,18.2,39.43694,-0.339996
e695,f2,2025-06-21T01:44:00,52.17,37.340335,-5.945472
e696,f1,2025-06-24T16:56:00,88.22,40.428163,-3.726102
e697,f3,2025-08-07T20:06:00,96.06,39.423055,-0.372011
e698,f3,2025-07-09T15:01:00,62.34,39.429619,-0.341229
e699,f1,2025-07-11T13:34:00,77.74,40.39131,-3.706008
e700,f2,2025-07-09T05:27:00,84.82,37.3577,-5.951291
e701,f3,2025-06-27T20:57:00,37.86,39.474221,-0.425455
e702,f1,2025-07-05T17:07:00,94.53,40.369521,-3.725575
e703,f3,2025-06-01T00:30:00,27.13,39.431352,-0.352759
e704,f1,2025-06-26T11:59:00,96.54,40.442265,-3.714256
e705,f2,2025-06-23T16:00:00,70.57,37.438235,-6.010131
e706,f2,2025-06-15T22:34:00,65.71,37.36618,-5.948264
e707,f2,2025-07-24T10:34:00,93.16,37.431437,-5.95258
e708,f3,2025-06-18T19:00:00,36.53,39.506536,-0.36701
e709,f3,2025-07-21T07:37:00,81.1,39.431891,-0.369854
e710,f2,2025-06-10T19:45:00,75.68,37.400335,-6.006043
e711,f1,2025-06-23T07:13:00,95.66,40.413525,-3.669995
e712,f1,2025-07-23T17:18:00,73.8,40.390868,-3.722065
e713,f3,2025-07-08T23:44:00,89.84,39.488567,-0.40098
e714,f2,2025-06-25T16:33:00,68.26,37.364321,-5.994777
e715,f2,2025-07-27T11:33:00,48.69,37.424166,-5.957774
e716,f2,2025-07-27T14:10:00,36.19,37.373004,-5.984978
e717,f3,2025-06-11T23:00:00,84.22,39.467279,-0.374659
e718,f2,2025-06-21T12:42:00,54.52,37.362423,-5.973191
e719,f1,2025-07-02T00:15:00,16.87,40.430375,-3.677906
e720,f3,2025-06-10T18:36:00,19.07,39.461222,-0.376972
e721,f2,2025-06-14T22:29:00,78.15,37.379392,-6.03162
e722,f2,2025-06-19T12:52:00,49.3,37.375466,-5.96919
e723,f1,2025-06-20T00:30:00,28.74,40.420625,-3.704981
e724,f3,2025-06-08T01:14:00,57.87,39.437161,-0.332274
e725,f3,2025-06-27T19:54:00,32.92,39.43709,-0.419445
e726,f1,2025-06-23T13:01:00,64.22,40.406754,-3.72869
e727,f3,2025-07-12T19:07:00,15.62,39.470455,-0.377784
e728,f2,2025-06-25T18:45:00,62.47,37.408804,-5.946377
e729,f3,2025-06-10T05:30:00,89.89,39.43834,-0.328386
e730,f1,2025-07-27T17:08:00,54.95,40.417378,-3.674916
e731,f2,2025-07-16T14:20:00,84.07,37.339585,-6.016946
e732,f2,2025-06-12T10:22:00,57.18,37.375523,-6.008695
e733,f3,2025-08-05T13:19:00,26.86,39.456793,-0.375297
e734,f3,2025-07-21T02:34:00,14.61,39.440948,-0.330498
e735,f3,2025-07-18T14:55:00,50.96,39.420706,-0.362678
e736,f1,2025-07-09T04:48:00,16.39,40.407033,-3.658131
e737,f2,2025-07-27T17:06:00,96.9,37.388678,-5.952703
e738,f3,2025-08-04T13:29:00,95.11,39.431446,-0.400473
e739,f2,2025-06-07T04:29:00,95.65,37.424187,-5.99192
e740,f1,2025-06-09T06:08:00,84.42,40.410703,-3.656823
e741,f2,2025-07-03T06:08:00,49.66,37.342368,-5.939432
e742,f1,2025-07-09T05:12:00,59.88,40.453296,-3.678715
e743,f3,2025-07-07T00:48:00,42.09,39.421274,-0.332914
e744,f3,2025-06-26T21:07:00,95.13,39.461639,-0.419907
e745,f1,2025-06-18T17:28:00,63.19,40.45262,-3.666027
e746,f2,2025-07-18T12:54:00,23.16,37.343166,-5.982783
e747,f3,2025-06-12T02:59:00,31.63,39.449387,-0.329158
e748,f1,2025-06-13T14:59:00,75.13,40.462769,-3.751276
e749,f1,2025-06-06T21:49:00,61.25,40.392853,-3.682869
e750,f2,2025-06-24T23:44:00,43.51,37.417751,-5.989339
e751,f1,2025-07-22T12:23:00,31.46,40.404157,-3.685151
e752,f1,2025-07-28T13:43:00,34.45,40.450331,-3.710721
e753,f2,2025-07-22T15:06:00,34.44,37.428297,-6.028697
e754,f1,2025-06-21T05:26:00,15.88,40.386766,-3.654911
e755,f2,2025-06-09T03:28:00,63.47,37.348067,-5.991209
e756,f2,2025-06-26T04:09:00,24.89,37.383673,-5.97914
e757,f1,2025-07-25T14:44:00,23.0,40.402773,-3.696225
e758,f3,2025-07-04T19:29:00,52.22,39.429783,-0.40984
e759,f1,2025-07-06T08:07:00,16.21,40.406332,-3.667246
e760,f1,2025-06-05T06:44:00,26.65,40.416802,-3.747549
e761,f2,2025-07-27T12:13:00,95.81,37.379002,-5.967543
e762,f2,2025-07-16T14:29:00,36.01,37.420537,-5.956625
e763,f3,2025-07-27T03:21:00,53.26,39.512478,-0.356547
e764,f2,2025-06-21T19:48:00,30.93,37.368474,-5.9612
e765,f1,2025-07-19T18:56:00,84.37,40.380484,-3.672061
e766,f1,2025-06-06T06:31:00,46.07,40.443343,-3.707633
e767,f1,2025-06-29T01:06:00,16.57,40.394574,-3.716283
e768,f3,2025-06-18T12:56:00,88.53,39.4423,-0.338705
e769,f1,2025-06-17T11:01:00,78.27,40.411448,-3.713362
e770,f2,2025-08-07T13:04:00,70.38,37.414855,-6.001548
e771,f3,2025-07-15T18:11:00,40.93,39.484254,-0.389866
e772,f3,2025-06-13T14:21:00,41.94,39.449297,-0.418809
e773,f2,2025-06-12T23:25:00,29.6,37.430017,-5.998439
e774,f2,2025-06-06T01:00:00,80.37,37.398173,-5.957817
e775,f1,2025-07-10T17:59:00,54.91,40.466415,-3.675587
e776,f2,2025-06-04T02:58:00,72.56,37.409694,-5.979866
e777,f2,2025-07-31T20:24:00,71.11,37.401946,-5.983752
e778,f3,2025-07-04T21:42:00,83.72,39.436827,-0.348251
e779,f3,2025-07-05T22:36:00,63.27,39.422505,-0.355047
e780,f3,2025-06-18T17:00:00,17.85,39.45745,-0.405615
e781,f1,2025-06-21T22:37:00,78.15,40.420426,-3.752133
e782,f2,2025-07-11T14:23:00,38.85,37.386941,-6.031636
e783,f3,2025-06-21T04:16:00,14.95,39.514194,-0.329538
e784,f1,2025-07-16T01:50:00,95.52,40.444769,-3.687863
e785,f1,2025-06-21T09:02:00,16.55,40.370505,-3.687853
e786,f3,2025-07-03T09:56:00,18.6,39.435695,-0.330973
e787,f2,2025-07-24T19:57:00,98.79,37.374851,-6.013498
e788,f1,2025-06-30T01:52:00,70.78,40.417321,-3.657979
e789,f3,2025-06-19T17:22:00,29.6,39.480638,-0.341007
e790,f3,2025-07-16T17:13:00,49.01,39.517389,-0.389299
e791,f2,2025-07-21T14:28:00,15.76,37.345766,-5.979977
e792,f2,2025-06-10T06:52:00,47.18,37.42005,-5.958435
e793,f1,2025-08-04T20:11:00,21.59,40.367325,-3.684918
e794,f2,2025-07-26T06:33:00,21.18,37.395384,-5.93879
e795,f3,2025-06-02T13:18:00,75.72,39.473067,-0.38661
e796,f3,2025-06-25T13:55:00,45.7,39.46272,-0.384977
e797,f2,2025-06-08T09:24:00,48.59,37.411834,-6.02009
e798,f1,2025-07-24T01:36:00,51.39,40.410834,-3.680735
e799,f1,2025-06-30T14:12:00,80.51,40.437286,-3.678151
e800,f1,2025-07-23T19:39:00,22.19,40.371937,-3.704888
e801,f1,2025-06-03T20:08:00,86.1,40.389824,-3.698675
e802,f3,2025-06-30T11:16:00,94.29,39.450011,-0.354728
e803,f3,2025-08-09T04:33:00,34.16,39.422172,-0.373303
